filename,reasoning,is_reinsurance,is_main_contract,is_obligatory,proportional_or_non_proportional,insurance_type,class_of_business
2020-1069996-0001069996-20-000094-f7v1089redacted.htm,"The document is an ""Excess Catastrophe Reinsurance Contract"" between FedNat Insurance Company and Monarch National Insurance Company, and Maison Insurance Company, and the Reinsurer. This explicitly states it is a reinsurance contract.

The contract covers ""Property business, including but not limited to, Dwelling Fire, Inland Marine, Mobile Home, Commercial and Homeowners business"". This indicates it is Non-Life insurance.

The contract is an ""Excess Catastrophe Reinsurance Contract,"" which is a type of non-proportional reinsurance. It details retentions and limits for excess layers of liability.

The contract appears to be a primary reinsurance agreement establishing the terms of coverage, rather than an amendment, endorsement, or commutation of an existing agreement. Therefore, it's a main contract.

The contract explicitly states it is a reinsurance contract and details the terms and conditions of the risk transfer from the ceding companies to the reinsurer. Given the excess catastrophe nature and its structure, it functions as an obligatory reinsurance agreement as it covers a defined portfolio of business without specific selection of individual risks.

The document describes an ""Excess Catastrophe Reinsurance Contract."" This type of reinsurance is typically non-proportional as it covers losses above a certain retention level or a specific amount. The contract details ""Retention and Limit"" and ""Excess layers,"" confirming it's non-proportional.

The classes of business reinsured are ""Property business, including but not limited to, Dwelling Fire, Inland Marine, Mobile Home, Commercial and Homeowners business"". This falls under the ""Property"" class of business.",True,True,True,non-proportional,Non-Life,Property
2020-1095073-0001095073-20-000035-exhibit101.htm,"The document is an amendment to a letter agreement concerning a standby letter of credit facility. It modifies an existing agreement, increasing the committed line of credit provided by Lloyds Bank to Everest International Reinsurance, Ltd. The purpose of this facility is to support Everest's obligations to provide Funds at Lloyd's for business assumed as a member of certain syndicates at Lloyd's. While Everest International Reinsurance, Ltd. is a reinsurance company, the document itself is about a banking facility (a letter of credit) and its amendment, not a reinsurance contract or an agreement directly related to the transfer of risk between insurance entities. Therefore, it is not a reinsurance agreement. Since it is not a reinsurance agreement, none of the subsequent classifications apply.",False,,,,,
2020-1527469-0001527469-20-000007-q42019exhibit10302.htm,"The document is a ""Third Amended and Restated Master Sub-Advisory Agreement."" It outlines the terms under which Athene Asset Management LLC appoints various Apollo entities as sub-advisors to manage investment portfolios of designated insurance companies. The agreement details the responsibilities of the Investment Manager and Sub-Advisors, fee structures, and operational procedures. While it refers to insurance companies and reinsurance companies (e.g., ATHENE LIFE RE LTD., ATHENE USA CORPORATION, ATHENE CO-INVEST REINSURANCE AFFILIATE 1A LTD.), the core of the document is a contract for investment management services, not a direct insurance or reinsurance policy itself. Therefore, it is not a reinsurance agreement. Since it's not a reinsurance agreement, the subsequent fields regarding reinsurance classification are not applicable.",False,,,,,
2020-1400810-0001564590-20-038411-hci-ex109_226.htm,"The document is explicitly titled ""REINSTATEMENT PREMIUM PROTECTION REINSURANCE CONTRACT"". It details an agreement to indemnify the company for liabilities related to reinstatement premiums under an underlying ""Property Catastrophe First Excess of Loss Reinsurance Contract"". This clearly establishes it as a reinsurance agreement. As it sets forth the terms of this specific protection, it functions as a main contract. The nature of ""Reinstatement Premium Protection"" for an ""First Excess of Loss"" contract implies non-proportional reinsurance, as excess of loss is a form of non-proportional coverage. The business covered is specifically identified as property perils (Business Owners, Homeowners, Condominium Owners, Renters, and Dwelling), indicating that the underlying insurance is Non-Life, and the class of business is Property.",True,True,,non-proportional,Non-Life,Property
2020-1628908-0001628908-20-000108-exhibit101evh_molinaapa.htm,"The document is an Asset Purchase Agreement between Passport Health Plan, Inc. (""Seller""), Evolent Health LLC (""Evolent""), and Molina Healthcare, Inc. (""Buyer""). The agreement outlines the terms and conditions for the sale of assets related to Seller's Medicaid Business and D-SNP Business to Buyer.

The document explicitly mentions a ""New Reinsurance Agreement"" as Exhibit B and lists it as a closing deliverable by Seller (Section 5.2(d)). Buyer is also required to execute this agreement (Section 5.3(d)). While the agreement itself isn't a reinsurance contract, it refers to one within its closing deliverables.

However, the primary purpose of this document is the purchase and sale of assets, not the establishment of a reinsurance contract itself. Therefore, it is not a reinsurance agreement.

Since it's not a reinsurance agreement, the subsequent classifications regarding main contract, obligatory nature, proportional/non-proportional, insurance type, and class of business are not applicable.",False,,,,,
2020-886982-0001193125-20-043853-d826673dex1044.htm,"The document provided is an award agreement for Restricted Stock Units (RSUs) granted by The Goldman Sachs Group, Inc. to its employees. It details the terms and conditions of the RSU awards, including vesting, delivery, transfer restrictions, and forfeiture provisions. This type of agreement is related to employee compensation and equity incentives, not to reinsurance or insurance contracts. Therefore, it does not classify as reinsurance.",False,False,False,,,
2020-1069996-0001069996-20-000094-f7v1027redacted.htm,"This document is identified as an ""Excess Catastrophe Reinsurance Contract"". This type of contract is used by insurance companies to transfer a portion of their risk to reinsurers, specifically for liabilities that exceed a certain predetermined threshold (retention) and up to a specified limit, thereby protecting the primary insurer from large losses, especially those arising from catastrophic events. The contract details terms such as commencement and termination, territory, exclusions, retention and limits, reinstatement provisions, and definitions of key terms like ""loss occurrence,"" which are all characteristic of a reinsurance agreement. The agreement is between insurance companies (FedNat, Monarch, Maison) and a ""Subscribing Reinsurer,"" clearly establishing a risk transfer relationship. The term ""reinsurance"" is explicitly used multiple times, confirming its nature.",True,True,True,non-proportional,Non-Life,Property
2020-1400810-0001564590-20-038411-hci-ex1020_237.htm,"The document is explicitly titled ""REINSTATEMENT PREMIUM PROTECTION REINSURANCE CONTRACT"". It refers to an ""Original Contract,"" which is a ""Catastrophe Excess of Loss Reinsurance Contract."" This contract provides indemnity to the ""Company"" (Homeowners Choice Property & Casualty Insurance Company, Inc. and Typtap Insurance Company) in respect of ""Reinstatement Premium"" they may become liable to pay under the reinstatement provisions of the Original Contract. Reinstatement Premium Protection contracts are a form of reinsurance that covers the cost of reinstating underlying reinsurance coverage. Therefore, it is a reinsurance agreement.

This document establishes the terms for covering reinstatement premiums under an existing reinsurance contract. It defines the business covered, the term, premium, and other conditions, thus creating a new contractual obligation directly related to the underlying reinsurance, rather than merely modifying an existing one. Hence, it is considered a main contract.

The contract covers ""Reinstatement Premium Protection for Working Layer CAT,"" which implies it is related to catastrophe excess of loss reinsurance. This type of reinsurance is typically non-proportional, as it covers losses that exceed a certain threshold.

The business covered is for ""direct and assumed business classified by the Company as the property perils of Business Owners, Homeowners, Condominium Owners, Renters and Dwelling."" This clearly indicates that the underlying insurance pertains to Non-Life insurance.

The specific lines of business mentioned, such as ""Business Owners, Homeowners, Condominium Owners, Renters and Dwelling,"" fall under the ""Property"" class of business within Non-Life insurance.",True,True,,non-proportional,Non-Life,Property
2020-1069996-0001069996-20-000094-nonfloridaquotasharereda.htm,"The document is a ""Non-Florida Property Quota Share Reinsurance Contract"". This clearly indicates it is a reinsurance agreement. It establishes the terms of reinsurance between FedNat Insurance Company and Anchor Re. The contract is for quota share reinsurance, which is a type of proportional reinsurance. The business reinsured is ""Homeowners & Dwelling Fire products"", which falls under property insurance. The document outlines the principal terms and conditions, making it the main contract. The contract is obligatory in nature as it obligates the company to cede and the reinsurer to accept business.",True,True,True,proportional,Non-Life,Property
2020-355379-0001558370-20-006589-mdwt-20200331ex1013b300f.htm,"The document is titled ""FUNDS WITHHELD COINSURANCE AND MODIFIED COINSURANCE AGREEMENT"" and details the ceding of liabilities from American Life & Security Corp. to SDA Annuity & Life Re. This transfer of risk between two insurance entities clearly defines it as a reinsurance agreement. The agreement establishes a ""Quota Share"" of certain liabilities, indicating a proportional type of reinsurance. The business covers MYGA (Multi-Year Guaranteed Annuity) and FIA (Fixed Indexed Annuity) products, which are life insurance products focused on providing income and managing financial obligations over a person's lifespan, thus relating to Longevity. The document appears to be the primary contract establishing the reinsurance relationship.",True,True,,proportional,Life,Longevity
