filename,reasoning,is_reinsurance,is_main_contract,is_obligatory,proportional_or_non_proportional,insurance_type,class_of_business
2011-1079577-0001193125-11-047538-dex1021.htm,"The user has provided a document that is a form of long-term incentive award agreement. This type of agreement is typically used for employee compensation and stock options, not for reinsurance. The document details performance conditions, employment conditions, tax withholding, and change of control clauses, all of which are standard for executive compensation plans. There is no mention of risk transfer, premiums, or any other characteristics of a reinsurance contract. Therefore, this document is not a reinsurance agreement.",False,,,,,
2011-832480-0000832480-11-000007-exhibit1013.htm,"The document is explicitly titled ""ASSUMPTION REINSURANCE AGREEMENT"" and details the terms and conditions under which Universal Guaranty Life Insurance Company cedes policies to First International Life Insurance Company. The structure and content clearly indicate a reinsurance transaction, specifically an assumption of business. The presence of ""REINSURANCE AGREEMENT"" in the exhibit name and the primary business discussed (cession of policies) confirm this. The agreement is between two insurance companies, one acting as the reinsurer. The agreement includes definitions, business assumed, assumption certificates, general provisions, consideration, duty of cooperation, arbitration, indemnification, and miscellaneous provisions, all typical components of a reinsurance contract. The document also references a ""Coinsurance Agreement"" which further solidifies its nature as a reinsurance-related document.",True,True,False,,Life,Mortality
2011-1279363-0001279363-11-000064-statesettlement-ga.htm,"The document is a settlement agreement concerning allegations of fraud against WellCare by the State of Georgia related to Medicaid claims. It does not establish a reinsurance or retrocession contract, nor does it modify or renew existing ones. While ""reinsurance subsidiary"" is mentioned in the preamble as a method used by WellCare, this legal settlement agreement itself is not a reinsurance contract.",False,,,,,
2011-939930-0000939930-11-000026-ex10_04.htm,"The document is an amendment to a credit agreement, not a reinsurance agreement. It details changes to loan commitments, interest rates, and other financial terms between a company and its lenders. There is no mention of risk transfer or insurance.",False,,,,,
2011-315293-0001104659-11-026364-a11-8884_1ex10d4.htm,"The document describes the Aon Corporation Leadership Performance Program, which is an incentive program for employees based on company performance. It outlines the terms and conditions for Performance Share Units, including eligibility, awards, vesting, and payout criteria. The document does not mention any form of insurance or reinsurance contracts, nor does it involve risk transfer between parties. Therefore, it is not a reinsurance agreement.",False,,,,,
2011-800457-0000950123-11-025153-w81976exv10wpp.htm,"The document is clearly titled ""QUOTA SHARE REINSURANCE AGREEMENT"". It details the terms and conditions between MICHIGAN INSURANCE COMPANY (MICO) and DONEGAL MUTUAL INSURANCE COMPANY, where Donegal Mutual agrees to reinsure a portion of MICO's policies. The agreement outlines the ceded premiums, losses, commissions, and responsibilities of each party, all characteristic of a reinsurance contract. It specifically mentions ""Quota Share"" which is a type of proportional reinsurance. Since it's a quota share reinsurance agreement, it is a main reinsurance contract rather than an ancillary one. The agreement covers all policies issued after the effective date until termination, suggesting it's obligatory in nature for the business specified. The document does not mention life insurance, but rather focuses on general insurance policies. Given the ""Quota Share"" nature, it's a proportional reinsurance agreement.

The document specifies that it covers ""all insurance policies MICO issues after the Effective Date and which MICO issues during the term of this Agreement"". This broad coverage of business written during the term indicates an obligatory nature, as it's not limited to specific facultative placements.

Since it is a ""Quota Share Reinsurance Agreement"" and establishes the primary terms of the reinsurance coverage between the two parties, it is considered the main contract.

The document states that Donegal Mutual accepts and reinsures from MICO the ""Quota Share of any Losses under the Covered Policies"". The Quota share is defined as 25%. This indicates a proportional reinsurance agreement.

The document does not mention anything related to life insurance. It discusses general ""insurance policies"" and financial aspects typical of non-life insurance. Therefore, the insurance type is Non-Life.

The document refers to ""Covered Policies"" and indicates that MICO issues these policies. There is no specific class of business mentioned, such as property, casualty, marine, etc. The agreement appears to be a general quota share reinsurance of MICO's book of business. Without more specific information about MICO's underlying policies, it is difficult to pinpoint a specific class of business. However, it's a general reinsurance agreement covering MICO's policies. Given the available options, ""Multi-Line"" would be most appropriate if it covered multiple distinct lines of business. As it's a quota share of MICO's general business, and no specific line dominates or is excluded, ""Multi-Line"" could be considered if it implies a broad portfolio. However, since no specific lines are mentioned as being excluded or included, and the focus is on the reinsurance structure itself, classifying the ""class of business"" is uncertain. It is not explicitly Life. It is likely Non-Life. Without further detail on MICO's underlying policies, classifying the specific class of business remains ambiguous. ""Multi-Line"" could apply if MICO's business itself is diverse. However, the prompt states to use ""Multi-Line"" for ""Whole Account reinsurance when not limited to one of the categories above"" or ""Coverage that explicitly includes many of the lines of insurance described above"". This document does not explicitly state it is ""whole account"" or lists multiple lines being covered. Therefore, it is best to respond with None for class_of_business due to lack of specific information.",True,True,True,proportional,Non-Life,
2011-1411059-0001193125-11-064157-dex1023.htm,"The document is a loan agreement (specifically, an Amended and Restated and Consolidated Loan Agreement) between KBSII entities as Borrowers and Wells Fargo Bank as Administrative Agent and Lenders. It details terms, conditions, covenants, and remedies related to a loan secured by real estate properties. There is no mention of insurance or reinsurance in the context of risk transfer between insurance entities. Therefore, it is not a reinsurance agreement.",False,False,,,,
2011-1279363-0001279363-11-000064-statesettlement-hi.htm,The document is a settlement agreement related to allegations of fraud in a Medicaid program. It outlines financial penalties and operational compliance measures. There is no indication of risk transfer or reinsurance.,False,,,,Non-Life,Accident and Health
2011-832480-0000832480-11-000002-parkaveagrmt.htm,"The document explicitly states ""ASSUMPTION REINSURANCE AGREEMENT"" in the title and throughout the text. It details the process of Universal Guaranty Life Insurance Company ceding policies to First International Life Insurance Company on an assumption reinsurance basis. This clearly indicates it is a reinsurance agreement.

The agreement establishes a direct reinsurance contract by outlining the terms for the transfer of policies and liabilities. It is not an ancillary modification of an existing overarching reinsurance agreement.

The agreement states that the Company agrees to cede and the Reinsurer agrees to accept and reinsure any Reinsured Policy on an assumption basis, implying automatic acceptance of specified policies. This suggests an obligatory nature rather than facultative.

The document describes the transfer of ""Reserves and Liabilities"" related to ""Reinsured Policies"" from one insurance company to another, which is a form of risk transfer. The agreement references a prior ""Coinsurance Agreement"" and describes steps for assumption and novation of policies. The core function is risk transfer from the originating insurer to the reinsurer. It does not specify whether the risk transfer is proportional or non-proportional in nature as the primary focus is on the assumption of liabilities and novation of policies. Therefore, it's safest to classify this as unknown.

The document repeatedly refers to ""Universal Guaranty Life Insurance Company, a life insurance company"" and ""First International Life Insurance Company, a life insurance company."" The term ""Reinsured Policies"" refers to life insurance policies. Thus, the insurance type is Life.

The document specifically mentions ""life insurance company"" and ""Reinsured Policies"" are life insurance policies. The content describes the assumption of ""Reserves and Liabilities"" arising from these life policies. This points to the ""Mortality"" class of business, as it's typical for life insurance policies to fall under this category.",True,True,True,,Life,Mortality
2011-1127703-0000950123-11-072343-g25045exv10w1.htm,"The document is a Credit Agreement. It outlines terms and conditions for loans between ProAssurance Corporation and various lenders. It does not involve risk transfer between insurance entities, which is characteristic of reinsurance. Therefore, it is not a reinsurance agreement. As it is not a reinsurance agreement, all other fields related to reinsurance classification are set to null.",False,,,,,
