filename,reasoning,is_reinsurance,is_main_contract,is_obligatory,proportional_or_non_proportional,insurance_type,class_of_business
2015-875159-0000875159-15-000011-xlgroup-12312014xex_1048.htm,"The document is an executive separation and consulting agreement between XL Group plc and its former chief executive of reinsurance operations. It outlines termination of employment, payments, consulting services, and release of claims. It does not transfer insurance risk, nor does it constitute a reinsurance treaty, retrocession, or any other type of reinsurance contract. Consequently, it is not a reinsurance agreement and does not contain any reinsurance contractual terms.",False,,,,,
2015-1609234-0001609234-15-000020-ex1020.htm,"The document is a “Separate Guaranty of Carveout Obligations” issued by American Realty Capital Healthcare Trust III, Inc. in connection with a commercial loan (Loan No. 73100202). It is a guarantee that obligates the guarantor to pay the lender for specific carve‑out obligations related to the loan, including indemnification, repayment of the indebtedness, and various warranties. This is a financial guarantee supporting a loan transaction, not a contract that transfers insurance risk from an insurer to a reinsurer. 

According to the provided definitions, reinsurance agreements are those that transfer insurance risk (e.g., reinsurance, retrocession, loss portfolio transfers, etc.). Guarantees, letters of credit, and other credit instruments are expressly listed as **NOT** reinsurance agreements. Consequently, the document is not a reinsurance contract.

Since it is not a reinsurance agreement, the remaining classification fields (main contract, obligatory status, proportionality, insurance type, and class of business) are not applicable and should be set to `null`.",False,,,,,
2015-1273813-0001273813-15-000019-ago-03312015x10qex102.htm,"The document is a Performance‑Based Restricted Stock Unit Agreement for an executive officer of Assured Guaranty Ltd. It governs the grant, vesting, forfeiture, and settlement of equity compensation. It contains no language relating to reinsurance, retrocession, risk transfer, or any of the insurance‑related contracts listed in the criteria for a reinsurance agreement. Consequently, it is not a reinsurance agreement, nor does it establish any reinsurance contract (main or ancillary). All subsequent classification fields therefore do not apply.",False,,,,,
2015-1609234-0001609234-15-000020-ex1018.htm,"The document is an “Assignment and Subordination of Management Agreement” that deals with the assignment of a management contract for a real‑estate property and its subordination to a loan security package. It concerns the borrower, the property manager, and the lender (which happens to be a reinsurance company, RGA Reinsurance Company). However, the agreement does not transfer insurance risk, nor does it constitute a reinsurance, retrocession, or any of the other listed reinsurance‑type contracts. It is essentially a loan‑related ancillary document, not a reinsurance agreement.",False,,,,,
2015-875159-0000875159-15-000073-exhibitsecondamendment_sec.htm,"The document is a “Second Amendment” to a Secured Credit Agreement among XL Group and its affiliates and a group of lenders. It amends definitions, schedules, and terms of the credit facility, and includes references to various loan and securities agreements. While it mentions reinsurance entities (e.g., “Reinsurance Deposit and Securities Portfolio Security Agreement”), the purpose of the document is to modify a credit agreement, not to create, amend, or otherwise constitute a reinsurance contract, retrocession, or any of the listed reinsurance‑related agreements. Therefore it is not a reinsurance agreement.",False,,,,,
2015-1567683-0001567683-15-000022-yieldincex1062015q2esecame.htm,"The document is an amendment to a credit agreement for a construction loan, including provisions related to title insurance, encroachments, and survey requirements. It does not create, modify, or reference any reinsurance, retrocession, or risk transfer contract. Therefore it is not a reinsurance agreement.",False,,,,,
2015-1475922-0001564590-15-009627-pri-ex1029_134.htm,"The document is an amendment (Amendment No. 1) to an existing “Coinsurance Agreement” between Prime Reinsurance Company, Inc. and Primerica Life Insurance Company. Coinsurance agreements are reinsurance contracts in which the ceding insurer transfers a fixed percentage of its risk (here 80 % and 10 %). The amendment solely modifies terms of that reinsurance agreement (e.g., finance charge, notice procedures) and does not contain the full contract itself. Therefore the document is a reinsurance agreement, but it is an ancillary amendment rather than a main contract. The underlying reinsurance is a proportional (quota‑share) arrangement, obligating the ceding company to cede a set share of its life insurance portfolio, making it an obligatory reinsurance. The underlying insurance is life insurance (primary level term life business), which falls under the “Mortality” class of business.",True,False,True,proportional,Life,Mortality
2015-1401521-0001401521-15-000007-exh1082014secondeventcatxo.htm,"The document is an “EXCESS OF LOSS REINSURANCE CONTRACT” titled “SECOND EVENT PROPERTY CATASTROPHE”. It sets out the terms under which the reinsurer will assume the excess liability of United Property & Casualty Insurance Company for its Property business. This is a full reinsurance treaty (not a mere amendment or endorsement), therefore it is a reinsurance agreement and constitutes the main contract.

The contract is a treaty covering the entire portfolio of Property business and contains automatic obligations for the reinsurer once the contract is effective, fitting the definition of an obligatory reinsurance treaty.

The contract provides excess‑of‑loss coverage, which is a classic non‑proportional form of reinsurance.

The underlying insurance is Property (homeowners, condominium owners, etc.), which falls under Non‑Life insurance.

Within the Non‑Life classification, the covered business is Property damage from fire, windstorm, hurricane, etc., so the class of business is “Property”.",True,True,True,non-proportional,Non-Life,Property
2015-1494904-0001193125-15-093663-d831640dex1020.htm,"The document is an executive employment term sheet outlining the compensation, duties, and termination provisions for a senior manager of Global Indemnity Reinsurance Company Ltd. It does not contain any reinsurance treaty, retrocession, or any agreement that transfers insurance risk. Therefore it is not a reinsurance contract nor an ancillary modification of one.",False,,,,,
2015-1609865-0001609865-15-000005-v405844_ex10-12.htm,"The document is a **facility agreement** (a loan contract) between Deutsche Pfandbriefbank AG (the lender/arranger) and several French property companies (the borrowers). The text describes the granting of a €55 million facility, its tranches, repayment terms, covenants, security interests, and property acquisitions. It contains no language referring to an insurance or reinsurance contract, no transfer of risk, premium, or indemnity obligations typical of reinsurance. Consequently, the document does not fall under any of the categories listed as reinsurance agreements (e.g., reinsurance treaty, retrocession, loss portfolio transfer, catastrophe bond, etc.).  
Therefore, the document is **not a reinsurance agreement**.",False,,,,,
