filename,reasoning,is_reinsurance,is_main_contract,is_obligatory,proportional_or_non_proportional,insurance_type,class_of_business
2021-1677703-0001677703-21-000046-cndt-093031ex106fxcreditag.htm,"The document provided is a ""Credit Agreement"" dated October 15, 2021, involving Conduent Incorporated, Conduent Business Services, LLC, and other affiliated entities as borrowers, along with Bank of America, N.A., as the administrative agent and various lenders. The agreement outlines the terms for loans, including initial term loans, revolving credit loans, and other financial arrangements. The core purpose of this document is to establish a lending relationship and define the obligations, covenants, and conditions related to the borrowing and repayment of funds.

The document contains detailed provisions on the commitments of the lenders, borrowing procedures, interest rates, fees, representations and warranties, covenants (both affirmative and negative), events of default, and remedies. It also includes sections on guarantees, collateral, and various administrative and legal clauses. The financial instruments discussed are standard loan and credit facilities, not insurance or reinsurance contracts.

Reinsurance agreements are contracts between insurance companies where one insurer (the reinsurer) agrees to cover a portion of the risks and liabilities of another insurer (the ceding company). The provided document does not contain any language or provisions related to the transfer of insurance risk, ceding of policies, or reinsurance-specific terms such as cessions, retrocessions, or treaty agreements. Instead, it is focused on corporate credit facilities, which are financial arrangements for borrowing money, not for transferring insurance risk.

Given that the document is a credit agreement for corporate loans and does not involve the transfer of insurance risk or any reinsurance-specific mechanisms, it does not meet the definition of a reinsurance agreement as specified in the instructions. Therefore, it is not a reinsurance agreement, and all subsequent classifications (main contract, obligatory, etc.) are not applicable.",False,,,,,
2021-1535929-0001535929-21-000025-a2020q4voyaex1021.htm,"The document is titled ""Amended and Restated Reinsurance Agreement (B)"" and is explicitly described as a reinsurance agreement between Security Life of Denver International Limited (the ""Company"") and Hannover Life Reassurance Company of America (Bermuda) Ltd. (the ""Reinsurer""). It involves the cession and assumption of reinsurance for certain life insurance contracts, specifically on a ""100% coinsurance/modified coinsurance or coinsurance/coinsurance with funds withheld basis."" This clearly places it within the category of reinsurance agreements, specifically a retrocession agreement, as it involves a reinsurance company (the Company) ceding business to another reinsurer.

The agreement establishes the full terms of the reinsurance relationship, including definitions, reinsurance coverage, reserves, settlement procedures, and duration. It is not merely an ancillary document such as an amendment or endorsement, but rather a comprehensive, restated contract. Therefore, it is a main contract.

The reinsurance is described as being on a ""100% coinsurance"" basis, which is a proportional method where the reinsurer takes on a fixed share (in this case, 100%) of the premiums and liabilities. This makes it a proportional reinsurance agreement.

The underlying insurance contracts are life insurance policies, as indicated by the parties' names (both are life reinsurance companies), the nature of the reinsurance (coinsurance of life contracts), and the reference to ""individual life reinsurance business"" in the recitals. This classifies the insurance type as Life.

Given that the underlying business is life insurance, and the document references reinsurance of individual life contracts, the most specific and appropriate class of business is ""Mortality,"" which covers Term Life, Whole Life, and similar products. The schedule of ""Covered Insurance Contracts"" lists treaties with ceding companies like Great-West Life & Annuity and TIAA-CREF, which are typical for life insurance, further confirming this classification.",True,True,True,proportional,Life,Mortality
2021-1069996-0001069996-21-000138-exhibit1018xq321.htm,"The document is titled ""Reinstatement Premium Protection Reinsurance Contract"" and explicitly states that it is a reinsurance agreement between the Company (FedNat Insurance Company, Monarch National Insurance Company, and Maison Insurance Company) and the Reinsurer. It indemnifies the Company for 100% of any reinstatement premium paid under an underlying Excess Catastrophe Reinsurance Contract. According to the classification guidelines, Reinstatement Premium Protection contracts that refer to an underlying reinsurance contract are considered reinsurance agreements. Therefore, this document qualifies as a reinsurance agreement.

The document establishes the full terms of a Reinstatement Premium Protection contract, including coverage, premium, termination, arbitration, and other key conditions. It is not merely an amendment or ancillary document but a complete and standalone contract. Thus, it qualifies as a main contract.

The agreement is structured as a protection against reinstatement premiums arising from an underlying excess catastrophe reinsurance treaty, which is inherently obligatory in nature (as catastrophe excess treaties typically cover all risks in a defined portfolio). The RPP contract transfers risk from the entire portfolio covered under the original treaty, not from specific named insureds, and does so automatically. Therefore, it is an obligatory reinsurance agreement.

The contract does not involve sharing premiums or losses proportionally based on a fixed percentage of the underlying policies. Instead, it provides indemnity for reinstatement premiums triggered by losses under a non-proportional excess catastrophe treaty. Reinstatement Premium Protection on non-proportional underlying contracts is classified as non-proportional reinsurance. Therefore, this is a non-proportional reinsurance agreement.

The underlying Original Contract is an Excess Catastrophe Reinsurance Contract, which typically covers property risks from natural catastrophes such as hurricanes and floods. This falls under Non-Life insurance. The class of business is Property, as it involves coverage for property damage from natural catastrophes and fire-related perils, which are explicitly listed under the ""Property"" category.",True,True,True,non-proportional,Non-Life,Property
2021-1400810-0001564590-21-042128-hci-ex10111_489.htm,"The document is a ""Reinstatement Premium Protection Reinsurance Contract"" issued to Typtap Insurance Company. It explicitly indemnifies the Company for the liability arising from reinstatement premiums it may owe under an underlying Property Catastrophe Excess of Loss Reinsurance Contract (the ""Original Contract""). According to the classification guidelines, Reinstatement Premium Protection contracts are considered reinsurance agreements if they refer to an underlying reinsurance contract—which this document clearly does.

The contract establishes the full terms of the reinstatement premium protection arrangement, including coverage, premium, termination, arbitration, and other standard reinsurance clauses. It references the Original Contract as forming part of this agreement and incorporates its terms. Since it contains all principal terms and is not merely an amendment or endorsement, it qualifies as a main contract.

The underlying Original Contract is a Property Catastrophe Excess of Loss treaty, which is a non-proportional reinsurance form. Reinstatement Premium Protection (RPP) contracts are inherently non-proportional because they cover the cost of reinstating reinsurance limits after a loss, not a proportional share of the loss itself. Therefore, this contract is classified as non-proportional.

The Original Contract covers property perils such as Homeowners, Condominium Owners, Renters, and Dwelling insurance, which are Non-Life insurance lines. The class of business is Property, as it specifically relates to property damage from perils like catastrophes and fire, and is not spread across multiple unrelated lines.

Thus, the document is a reinsurance agreement, a main contract, obligatory (as it covers a treaty-level underlying), non-proportional, pertaining to Non-Life insurance, and in the Property class of business.",True,True,True,non-proportional,Non-Life,Property
2021-1400810-0001564590-21-042128-hci-ex1041_477.htm,"The document is titled ""Reinstatement Premium Protection Reinsurance Contract"" and is issued to Homeowners Choice Property & Casualty Insurance Company, Inc. It explicitly states in Article 1 that it indemnifies the Company for Reinstatement Premiums it may become liable to pay under a Property Catastrophe Excess of Loss Reinsurance Contract (the ""Original Contract""). Reinstatement Premium Protection contracts are specifically listed in the instructions as reinsurance agreements when they refer to an underlying reinsurance contract, which this one does. Therefore, this document is a reinsurance agreement.

The document contains all principal terms of the agreement, including coverage, term, premium, definitions, and conditions. It is not merely an amendment or ancillary document but establishes the full contract. Hence, it is a main contract.

The underlying Original Contract is a Property Catastrophe Excess of Loss treaty, which is a standard form of obligatory reinsurance covering a portfolio of property risks. The Reinstatement Premium Protection here supports that obligatory treaty, so the agreement is itself obligatory.

The document protects reinstatement premiums due under a non-proportional excess of loss contract. Reinstatement Premium Protection on a non-proportional underlying contract is classified as non-proportional reinsurance.

The underlying insurance portfolio is described as covering property perils such as Homeowners, Condominium Owners, Dwelling, etc., which are Non-Life insurance lines. Therefore, the insurance type is Non-Life.

The class of business is Property, as it explicitly covers property damage from perils such as fire and natural catastrophes, and the policies are classified as property perils.",True,True,True,non-proportional,Non-Life,Property
2021-898174-0000898174-21-000016-ex1032021q110-q.htm,"The document is a Stock Appreciation Right (SAR) Award Agreement between Reinsurance Group of America, Incorporated and an employee. It outlines the terms under which the employee is granted stock appreciation rights related to the company's Common Stock. This is a compensation-related equity award, not a contract for risk transfer between insurers and reinsurers. The document does not contain any provisions related to reinsurance, retrocession, risk transfer, or insurance coverage. Instead, it deals exclusively with employee incentives and corporate stock plan mechanics. Therefore, it does not meet any of the criteria for being classified as a reinsurance agreement.",False,,,,,
2021-1371285-0001371285-21-000041-ex1016q42020.htm,"The document is titled ""ADDENDUM #8"" to a ""QUOTA SHARE REINSURANCE AGREEMENT"" and explicitly amends an existing reinsurance agreement between Omega General Insurance Company (the Reinsured) and Wyndham Insurance Company (SAC) Limited (the Reinsurer). It modifies Article 8 concerning the ceding commission, including a fronting fee component. The original agreement is a quota share reinsurance contract, which is a type of proportional reinsurance. This addendum does not establish a new reinsurance contract but modifies the terms of an existing one. Therefore, it is an ancillary agreement to a main reinsurance contract.

Given the definitions:
- The document is a reinsurance agreement because it modifies an existing reinsurance contract.
- It is not a main contract because it is an addendum (ancillary agreement).
- The underlying reinsurance contract is obligatory because quota share treaties are inherently obligatory.
- The reinsurance is proportional, as quota share agreements are by definition proportional.
- The metadata and document do not specify the type of insurance (Life or Non-Life) or the class of business. However, the ceding commission includes a ""fronting fee"" and references to ""gross premium on the subject Business,"" which is typical in property or casualty contexts. The company Trupanion (TRUP) is a pet insurance provider, which falls under Non-Life insurance and more specifically under Accident and Health or Health lines. Pet health insurance is most closely aligned with Accident and Health for Non-Life or Health if treated as Life, but given the nature of pet insurance (medical expenses), it is best classified under Non-Life, specifically ""Accident and Health.""

However, since the addendum itself does not establish the coverage terms or underlying portfolio, and only modifies financial terms (ceding commission), the classification of insurance type and class of business must be based on external inference. While Trupanion's core business supports this inference, the document alone does not explicitly state these details. Therefore, due to lack of explicit information within the document, insurance type and class of business are uncertain.",True,False,True,proportional,Non-Life,Accident and Health
2021-1576018-0001576018-21-000026-exhibit1081scheduleofsigna.htm,"The document provided is a ""Schedule of Signatories to the Director Service Agreements"" for Third Point Reinsurance Ltd. It lists the names of individuals who are signatories to Director Service Agreements. These agreements pertain to the governance and service terms of directors on the company's board and are not related to risk transfer between insurers and reinsurers. The document does not contain any terms or conditions related to reinsurance, such as coverage, premiums, limits, or risk sharing. Instead, it is an administrative or corporate governance document. Therefore, it does not qualify as a reinsurance agreement under any of the defined categories, including main or ancillary reinsurance contracts.",False,,,,,
2021-707388-0000707388-21-000009-exhibit1077dmshealthstockp.htm,"The provided document is a Stock Purchase Agreement for the acquisition of DMS Health Technologies, Inc. It outlines the terms and conditions under which the buyer (Knob Creek Acquisition Corp.) will purchase all the shares of the company from the seller (Project Rendezvous Acquisition Corporation). This is a standard corporate acquisition agreement and does not pertain to any form of reinsurance or insurance contract. The document includes provisions related to the purchase price, representations and warranties, covenants, conditions precedent to closing, indemnification, tax matters, and general provisions. None of these elements indicate that the agreement involves reinsurance, retrocession, or any other type of risk transfer typical in reinsurance contracts. Therefore, the document is not a reinsurance agreement.",False,,,,,
2021-1296435-0001296435-21-000062-ex101termloanagreement.htm,"The provided document is an ""Amendment and Restatement Agreement"" for a ""Term Loan Credit Agreement."" This is a standard corporate loan agreement where a borrower (Neenah, Inc.) receives a term loan from a syndicate of lenders led by JPMorgan Chase Bank, N.A. The document outlines the terms of the loan, including the principal amount ($450,000,000), interest rates, repayment schedules, and various covenants.

This document does not contain any of the defining characteristics of a reinsurance agreement. It is not a contract between insurers to transfer risk. Instead, it is a financial instrument for debt financing. The agreement involves the borrowing of capital, not the sharing or transfer of insurance risk. The entities involved are a corporation and its lenders, not insurance or reinsurance companies.

Specifically, the document is classified as a ""Term Loan Credit Agreement,"" which is explicitly listed in the ""NOT"" section as **not** being considered a reinsurance agreement. The entire purpose of the agreement is to refinance existing debt and fund an acquisition, which are standard corporate finance activities.

Therefore, the document is a standard loan agreement and does not qualify as a reinsurance agreement or any of its ancillary documents.",False,,,,,
